,Locations,March Europe,March Korea,March Japan,"YTD
Europe","YTD
Korea","YTD
Japan",Month,Year,latitude,longitude
163,Sanno Navy,0.00,0.00,"80,006.45",0.00,0.00,"4,96,996.40",February,2020,,
164,Atsugi Navy,0.00,0.00,"1,00,230.75",0.00,0.00,"5,69,969.40",February,2020,,
165,Okinawa,0.00,0.00,"8,275.00",0.00,0.00,"33,094.00",February,2020,26.212401,127.68093
166,Okinawa Marines,0.00,0.00,"10,19,150.53",0.00,0.00,"53,73,686.27",February,2020,,
167,Okinawa Navy,0.00,0.00,"39,014.90",0.00,0.00,"1,55,960.75",February,2020,,
168,Iwakuni Marines,0.00,0.00,"2,07,498.62",0.00,0.00,"10,65,706.85",February,2020,,
169,Sasebo Navy,0.00,0.00,"2,33,426.20",0.00,0.00,"10,75,027.65",February,2020,,
170,Yokosuka Navy,0.00,0.00,"5,63,904.33",0.00,0.00,"22,91,301.50",February,2020,,
171,Singapore Navy,0.00,0.00,"6,806.00",0.00,0.00,"33,112.95",February,2020,,
172,Kaiserslautern,0.00,0.00,0.00,"6,85,257.85",0.00,0.00,February,2021,,
173,Grafenwoehr,"1,54,884.10",0.00,0.00,"5,92,229.25",0.00,0.00,February,2021,,
174,Wiesbaden,"55,349.15",0.00,0.00,"2,96,533.00",0.00,0.00,February,2021,,
175,Vicenza,"46,663.95",0.00,0.00,"2,72,641.45",0.00,0.00,February,2021,45.545479,11.535421
176,Livorno,"8,140.50",0.00,0.00,"19,364.10",0.00,0.00,February,2021,43.548473,10.310567
177,Stuttgart,"-14,327.80",0.00,0.00,"1,18,971.60",0.00,0.00,February,2021,48.775418,9.181759
178,Baumholder,0.00,0.00,0.00,"12,703.25",0.00,0.00,February,2021,49.613889,7.333333
179,Ansbach,0.00,0.00,0.00,"83,574.00",0.00,0.00,February,2021,49.300425,10.571936
180,Schinnen,"6,629.60",0.00,0.00,"38,730.00",0.00,0.00,February,2021,50.94028,5.87832
181,AFRC Edelweiss Lodge,0.00,0.00,0.00,"9,043.57",0.00,0.00,February,2021,,
182,Hohenfels,"46,917.55",0.00,0.00,"2,34,799.50",0.00,0.00,February,2021,49.203278,11.849022
183,Naples Navy,0.00,0.00,0.00,"85,315.15",0.00,0.00,February,2021,,
184,Sigonella Navy,"41,910.75",0.00,0.00,"1,87,765.50",0.00,0.00,February,2021,,
185,Rota Navy,"66,102.15",0.00,0.00,"2,97,903.65",0.00,0.00,February,2021,,
186,Souda Bay Navy,0.00,0.00,0.00,0.00,0.00,0.00,February,2021,,
187,AFRC Dragon Hill Lodge,0.00,"4,38,786.40",0.00,0.00,"17,70,630.35",0.00,February,2021,,
188,Seoul,0.00,"25,338.15",0.00,0.00,"1,49,357.45",0.00,February,2021,37.566535,126.97797
189,Casey &   Hovey,0.00,"2,87,863.05",0.00,0.00,"9,85,200.65",0.00,February,2021,,
190,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,February,2021,,
191,Camp Humphreys,0.00,"9,61,184.35",0.00,0.00,"45,72,451.75",0.00,February,2021,,
192,Daegu,0.00,"2,77,888.85",0.00,0.00,"12,46,722.45",0.00,February,2021,,
193,Chinhae Navy,0.00,"20,663.05",0.00,0.00,"1,64,181.35",0.00,February,2021,,
194,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,February,2021,,
195,Camp Zama,0.00,0.00,"1,32,735.50",0.00,0.00,"6,56,715.90",February,2021,,
196,Fuji Marines,0.00,0.00,530.00,0.00,0.00,"4,191.50",February,2021,,
197,Sanna Navy,0.00,0.00,0.00,0.00,0.00,0.00,February,2021,,
198,Atsugi Navy,0.00,0.00,"1,09,303.30",0.00,0.00,"6,66,923.00",February,2021,,
199,Okinawa,0.00,0.00,"5,096.80",0.00,0.00,"23,110.45",February,2021,26.212401,127.68093
200,Okinawa Marines,0.00,0.00,"6,94,853.55",0.00,0.00,"43,07,667.80",February,2021,,
201,Okinawa Navy,0.00,0.00,"9,402.20",0.00,0.00,"1,65,684.70",February,2021,,
202,Iwakuni Marines,0.00,0.00,"1,81,630.75",0.00,0.00,"7,16,313.90",February,2021,,
203,Sasebo Navy,0.00,0.00,"1,47,258.90",0.00,0.00,"9,05,313.40",February,2021,,
204,Yokosuka Navy,0.00,0.00,"2,13,856.85",0.00,0.00,"13,06,277.05",February,2021,,
205,Singapore Navy,0.00,0.00,0.00,0.00,0.00,0.00,February,2021,,
206,Total Gaming Revenue,"4,12,269.95","20,11,723.85","14,94,667.85","29,34,831.87","88,88,544.00","87,52,197.70",February,2021,,
207,Kaiserslautern,"2,18,080.40",0.00,0.00,"12,57,360.40",0.00,0.00,February,2022,,
208,Grafenwoehr,"1,14,267.30",0.00,0.00,"5,25,145.45",0.00,0.00,February,2022,,
209,Wiesbaden,"1,99,798.70",0.00,0.00,"11,34,335.70",0.00,0.00,February,2022,,
210,Vicenza,"49,060.30",0.00,0.00,"3,50,003.75",0.00,0.00,February,2022,45.545479,11.535421
