,Locations,March Europe,March Korea,March Japan,"YTD
Europe","YTD
Korea","YTD
Japan",Month,Year,latitude,longitude
803,Vicenza,"89,951.25",0.00,0.00,"7,63,564.00",0.00,0.00,June,2023,45.545479,11.535421
804,Livorno,"2,157.80",0.00,0.00,"89,299.00",0.00,0.00,June,2023,43.548473,10.310567
805,Stuttgart,"1,31,539.15",0.00,0.00,"18,61,000.90",0.00,0.00,June,2023,48.775418,9.181759
806,Baumholder,"38,948.55",0.00,0.00,"4,72,682.45",0.00,0.00,June,2023,49.613889,7.333333
807,Ansbach,"58,099.70",0.00,0.00,"6,50,253.25",0.00,0.00,June,2023,49.300425,10.571936
808,Brunssum,"8,570.40",0.00,0.00,"91,285.65",0.00,0.00,June,2023,50.948896,5.972166
809,AFRC Edelweiss Lodge,"19,253.15",0.00,0.00,"1,85,039.27",0.00,0.00,June,2023,,
810,Hohenfels,"25,913.95",0.00,0.00,"2,97,160.30",0.00,0.00,June,2023,49.203278,11.849022
811,Naples Navy,"1,23,126.70",0.00,0.00,"10,38,622.20",0.00,0.00,June,2023,,
812,Sigonella Navy,"35,056.65",0.00,0.00,"5,44,709.75",0.00,0.00,June,2023,,
813,Rota Navy,"34,418.15",0.00,0.00,"7,05,500.45",0.00,0.00,June,2023,,
814,Souda Bay Navy,"18,029.00",0.00,0.00,"1,00,395.65",0.00,0.00,June,2023,,
815,AFRC Dragon Hill Lodge,0.00,"2,98,337.00",0.00,0.00,"38,59,690.10",0.00,June,2023,,
816,Seoul,0.00,"23,041.90",0.00,0.00,"1,62,494.50",0.00,June,2023,37.566535,126.97797
817,Casey & Hovey,0.00,"1,94,378.70",0.00,0.00,"15,67,531.85",0.00,June,2023,,
818,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,June,2023,,
819,Camp Humphreys,0.00,"12,10,662.55",0.00,0.00,"92,96,381.10",0.00,June,2023,,
820,Daegu,0.00,"2,30,814.20",0.00,0.00,"18,38,528.55",0.00,June,2023,,
821,Chinhae Navy,0.00,"34,423.70",0.00,0.00,"2,42,256.50",0.00,June,2023,,
822,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,June,2023,,
823,Camp Zama,0.00,0.00,"1,68,200.30",0.00,0.00,"9,57,221.20",June,2023,,
824,Fuji Marines,0.00,0.00,"3,749.40",0.00,0.00,"21,659.40",June,2023,,
825,Sanno Navy,0.00,0.00,"65,410.65",0.00,0.00,"7,47,435.35",June,2023,,
826,Atsugi Navy,0.00,0.00,"1,52,300.95",0.00,0.00,"9,01,157.00",June,2023,,
827,Okinawa,0.00,0.00,"9,347.00",0.00,0.00,"72,268.00",June,2023,26.212401,127.68093
828,Okinawa Marines,0.00,0.00,"9,29,572.60",0.00,0.00,"86,99,791.10",June,2023,,
829,Okinawa Navy,0.00,0.00,"21,982.70",0.00,0.00,"2,98,571.50",June,2023,,
830,Iwakuni Marines,0.00,0.00,"1,07,454.85",0.00,0.00,"14,32,118.40",June,2023,,
831,Sasebo Navy,0.00,0.00,"1,48,940.15",0.00,0.00,"16,02,515.30",June,2023,,
832,Yokosuka Navy,0.00,0.00,"3,29,200.60",0.00,0.00,"39,33,271.65",June,2023,,
833,Singapore Navy,0.00,0.00,"8,199.00",0.00,0.00,"45,439.00",June,2023,,
834,Total Gaming Revenue,"14,39,435.25","19,91,658.05","19,44,358.20","1,32,03,512.52","1,69,66,882.60","1,87,11,447.90",June,2023,,
835,Kaiserslautern,"2,98,637.05",0.00,0.00,"19,80,754.80",0.00,0.00,July,2020,,
836,Grafenwoehr,"1,48,357.25",0.00,0.00,"12,06,245.05",0.00,0.00,July,2020,,
837,Wiesbaden,"1,52,701.65",0.00,0.00,"16,70,349.40",0.00,0.00,July,2020,,
838,Vicenza,0.00,0.00,0.00,"4,06,448.85",0.00,0.00,July,2020,45.545479,11.535421
839,Livorno,"6,844.60",0.00,0.00,"13,196.95",0.00,0.00,July,2020,43.548473,10.310567
840,Stuttgart,"1,26,537.15",0.00,0.00,"10,79,140.35",0.00,0.00,July,2020,48.775418,9.181759
841,Baumholder,"21,367.55",0.00,0.00,"3,60,649.50",0.00,0.00,July,2020,49.613889,7.333333
842,Ansbach,"17,611.60",0.00,0.00,"3,29,515.45",0.00,0.00,July,2020,49.300425,10.571936
843,Schinnen,0.00,0.00,0.00,"41,837.70",0.00,0.00,July,2020,50.94028,5.87832
844,AFRC Edelweiss Lodge,"32,460.35",0.00,0.00,"1,89,068.22",0.00,0.00,July,2020,,
845,Hohenfels,"-6,959.65",0.00,0.00,"2,72,433.55",0.00,0.00,July,2020,49.203278,11.849022
846,Naples Navy,0.00,0.00,0.00,"4,83,735.90",0.00,0.00,July,2020,,
847,Sigonella Navy,"-4,560.75",0.00,0.00,"3,33,975.95",0.00,0.00,July,2020,,
848,Rota Navy,"31,261.25",0.00,0.00,"4,59,185.65",0.00,0.00,July,2020,,
849,Souda Bay Navy,0.00,0.00,0.00,"58,890.00",0.00,0.00,July,2020,,
850,AFRC Dragon Hill Lodge,0.00,"3,28,860.75",0.00,0.00,"43,82,650.50",0.00,July,2020,,
851,Seoul,0.00,"49,625.00",0.00,0.00,"6,26,872.00",0.00,July,2020,37.566535,126.97797
852,Casey &   Hovey,0.00,"1,04,804.05",0.00,0.00,"19,25,036.10",0.00,July,2020,,
853,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,July,2020,,
854,Camp Humphreys,0.00,"1,111,981. 80",0.00,0.00,"86,02,099.05",0.00,July,2020,,
855,Daegu,0.00,"3,48,106.80",0.00,0.00,"21,42,432.85",0.00,July,2020,,
856,Chinhae Navy,0.00,"20,913.15",0.00,0.00,"2,64,900.11",0.00,July,2020,,
857,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,July,2020,,
858,Camp Zama,0.00,0.00,"1,63,676.65",0.00,0.00,"10,83,632.90",July,2020,,
859,Fuji Marines,0.00,0.00,"4,244.00",0.00,0.00,"9,649.25",July,2020,,
860,Sanna Navy,0.00,0.00,"47,478.95",0.00,0.00,"6,14,781.60",July,2020,,
861,Atsugi Navy,0.00,0.00,"1,18,200.10",0.00,0.00,"8,51,319.70",July,2020,,
862,Okinawa,0.00,0.00,"4,458.00",0.00,0.00,"50,454.00",July,2020,26.212401,127.68093
863,Okinawa Marines,0.00,0.00,"5,17,219.50",0.00,0.00,"81,02,079.05",July,2020,,
864,Okinawa Navy,0.00,0.00,"28,523.95",0.00,0.00,"2,31,465.85",July,2020,,
865,Iwakuni Marines,0.00,0.00,"1,29,228.65",0.00,0.00,"15,61,815.20",July,2020,,
866,Sasebo Navy,0.00,0.00,"1,86,735.60",0.00,0.00,"14,64,953.60",July,2020,,
867,Yokosuka Navy,0.00,0.00,"2,03,968.00",0.00,0.00,"29,99,368.15",July,2020,,
868,Singapore Navy,0.00,0.00,0.00,0.00,0.00,"33,112.95",July,2020,,
869,Total Gaming Revenue,"8,24,258.05","1,964,291. 55","14,03,733.40","88,85,427.32","1,79,43,990.61","1,70,02,632.25",July,2020,,
870,Kaiserslautern,"2,11,338.40",0.00,0.00,"8,91,119.60",0.00,0.00,July,2021,,
871,Grafenwoehr,"1,49,451.50",0.00,0.00,"13,48,229.30",0.00,0.00,July,2021,,
872,Wiesbaden,"2,24,232.10",0.00,0.00,"18,00,098.85",0.00,0.00,July,2021,,
873,Vicenza,"41,222.65",0.00,0.00,"6,48,130.15",0.00,0.00,July,2021,45.545479,11.535421
874,Livorno,"8,463.00",0.00,0.00,"52,482.30",0.00,0.00,July,2021,43.548473,10.310567
875,Stuttgart,"1,95,901.60",0.00,0.00,"11,65,851.65",0.00,0.00,July,2021,48.775418,9.181759
876,Baumholder,"35,688.00",0.00,0.00,"75,744.40",0.00,0.00,July,2021,49.613889,7.333333
877,Ansbach,"39,308.50",0.00,0.00,"2,76,661.00",0.00,0.00,July,2021,49.300425,10.571936
878,Schinnen,"8,926.80",0.00,0.00,"91,879.25",0.00,0.00,July,2021,50.94028,5.87832
879,AFRC Edelweiss Lodge,"23,274.65",0.00,0.00,"82,145.22",0.00,0.00,July,2021,,
880,Hohenfels,"36,536.75",0.00,0.00,"4,48,441.95",0.00,0.00,July,2021,49.203278,11.849022
881,Naples Navy,"56,424.40",0.00,0.00,"1,92,326.85",0.00,0.00,July,2021,,
882,Sigonella Navy,"65,218.85",0.00,0.00,"4,48,224.45",0.00,0.00,July,2021,,
883,Rota Navy,"77,465.90",0.00,0.00,"6,55,732.00",0.00,0.00,July,2021,,
884,Souda Bay Navy,0.00,0.00,0.00,0.00,0.00,0.00,July,2021,,
885,AFRC Dragon Hill Lodge,0.00,"1,46,678.25",0.00,0.00,"40,58,747.20",0.00,July,2021,,
886,Seoul,0.00,"34,772.10",0.00,0.00,"2,63,745.55",0.00,July,2021,37.566535,126.97797
887,Casey &   Hovey,0.00,"1,35,709.85",0.00,0.00,"18,92,567.50",0.00,July,2021,,
888,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,July,2021,,
889,Camp Humphreys,0.00,"1,029,593. 75",0.00,0.00,"98,54,143.75",0.00,July,2021,,
890,Daegu,0.00,"287,846. 35",0.00,0.00,"27,27,851.20",0.00,July,2021,,
891,Chinhae Navy,0.00,"12,078.70",0.00,0.00,"3,09,539.65",0.00,July,2021,,
892,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,July,2021,,
893,Camp Zama,0.00,0.00,"55,990.75",0.00,0.00,"13,27,875.90",July,2021,,
894,Fuji Marines,0.00,0.00,"2,989.00",0.00,0.00,"18,297.50",July,2021,,
895,Sanna Navy,0.00,0.00,"74,940.70",0.00,0.00,"2,52,936.55",July,2021,,
896,Atsugi Navy,0.00,0.00,"1,34,197.15",0.00,0.00,"13,03,423.55",July,2021,,
897,Okinawa,0.00,0.00,0.00,0.00,0.00,"24,054.95",July,2021,26.212401,127.68093
898,Okinawa Marines,0.00,0.00,"8,59,083.35",0.00,0.00,"89,35,416.60",July,2021,,
899,Okinawa Navy,0.00,0.00,"46,154.50",0.00,0.00,"3,02,246.00",July,2021,,
900,Iwakuni Marines,0.00,0.00,"1,56,106.50",0.00,0.00,"16,94,238.95",July,2021,,
901,Sasebo Navy,0.00,0.00,"1,37,346.20",0.00,0.00,"20,81,304.85",July,2021,,
902,Yokosuka Navy,0.00,0.00,"4,14,796.25",0.00,0.00,"32,70,819.15",July,2021,,
903,Singapore Navy,0.00,0.00,0.00,0.00,0.00,-30.50,July,2021,,
904,Total Gaming Revenue,"11,73,453.10","16,46,679.00","18,81,604.40","81,77,066.97","1,91,06,594.85","1,92,10,583.50",July,2021,,
905,Kaiserslautern,"3,15,348.85",0.00,0.00,"28,32,453.50",0.00,0.00,July,2022,,
906,Grafenwoehr,"1,20,566.55",0.00,0.00,"10,94,393.50",0.00,0.00,July,2022,,
907,Wiesbaden,"1,48,396.00",0.00,0.00,"25,18,504.30",0.00,0.00,July,2022,,
908,Vicenza,"73,753.30",0.00,0.00,"7,84,903.10",0.00,0.00,July,2022,45.545479,11.535421
909,Livorno,"1,853.00",0.00,0.00,"1,05,365.15",0.00,0.00,July,2022,43.548473,10.310567
910,Stuttgart,"1,01,464.25",0.00,0.00,"21,61,804.05",0.00,0.00,July,2022,48.775418,9.181759
911,Baumholder,"2,324.15",0.00,0.00,"4,28,547.10",0.00,0.00,July,2022,49.613889,7.333333
912,Ansbach,"52,880.95",0.00,0.00,"5,85,746.95",0.00,0.00,July,2022,49.300425,10.571936
913,Brunssum,"12,753.65",0.00,0.00,"86,087.40",0.00,0.00,July,2022,50.948896,5.972166
914,AFRC Edelweiss Lodge,"-5,460.25",0.00,0.00,"1,50,352.40",0.00,0.00,July,2022,,
915,Hohenfels,"21,590.60",0.00,0.00,"5,12,542.50",0.00,0.00,July,2022,49.203278,11.849022
916,Naples Navy,"41,756.85",0.00,0.00,"8,18,321.06",0.00,0.00,July,2022,,
917,Sigonella Navy,"87,504.00",0.00,0.00,"5,90,264.35",0.00,0.00,July,2022,,
918,Rota Navy,"77,750.70",0.00,0.00,"8,32,321.00",0.00,0.00,July,2022,,
919,Souda Bay Navy,"21,027.00",0.00,0.00,"23,896.05",0.00,0.00,July,2022,,
920,AFRC Dragon Hill Lodge,0.00,"2,89,777.05",0.00,0.00,"32,57,627.75",0.00,July,2022,,
921,Seoul,0.00,"4,625.55",0.00,0.00,"1,20,281.25",0.00,July,2022,37.566535,126.97797
922,Casey &   Hovey,0.00,"1,67,462.95",0.00,0.00,"23,08,099.30",0.00,July,2022,,
923,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,July,2022,,
924,Camp Humphreys,0.00,"7,57,780.30",0.00,0.00,"91,34,612.60",0.00,July,2022,,
925,Daegu,0.00,"2,12,896.85",0.00,0.00,"26,47,900.15",0.00,July,2022,,
926,Chinhae Navy,0.00,"9,532.80",0.00,0.00,"3,24,288.05",0.00,July,2022,,
927,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,July,2022,,
928,Camp Zama,0.00,0.00,"91,632.55",0.00,0.00,"10,17,398.65",July,2022,,
929,Fuji Marines,0.00,0.00,288.95,0.00,0.00,"17,273.95",July,2022,,
930,Sanna Navy,0.00,0.00,"41,750.80",0.00,0.00,"7,58,100.95",July,2022,,
931,Atsugi Navy,0.00,0.00,"64,105.05",0.00,0.00,"8,79,622.85",July,2022,,
932,Okinawa,0.00,0.00,"1,806.50",0.00,0.00,"55,064.80",July,2022,26.212401,127.68093
933,Okinawa Marines,0.00,0.00,"8,16,504.00",0.00,0.00,"91,22,295.30",July,2022,,
934,Okinawa Navy,0.00,0.00,"13,783.55",0.00,0.00,"3,03,270.50",July,2022,,
935,Iwakuni Marines,0.00,0.00,"1,80,001.20",0.00,0.00,"18,02,583.55",July,2022,,
936,Sasebo Navy,0.00,0.00,"1,68,433.50",0.00,0.00,"20,53,594.30",July,2022,,
937,Yokosuka Navy,0.00,0.00,"3,64,207.90",0.00,0.00,"44,31,589.05",July,2022,,
938,Singapore Navy,0.00,0.00,"6,844.00",0.00,0.00,"56,932.00",July,2022,,
939,Total Gaming Revenue,"10,73,509.60","14,42,075.50","17,49,358.00","1,35,25,502.41","1,77,92,809.10","2,04,97,725.90",July,2022,,
940,Kaiserslautern,"2,37,185.85",0.00,0.00,"31,48,773.80",0.00,0.00,July,2023,,
941,Grafenwoehr,"2,07,896.65",0.00,0.00,"16,47,509.65",0.00,0.00,July,2023,,
942,Wiesbaden,"2,09,897.95",0.00,0.00,"22,62,696.65",0.00,0.00,July,2023,,
943,Vicenza,"1,01,715.10",0.00,0.00,"8,65,279.10",0.00,0.00,July,2023,45.545479,11.535421
944,Livorno,"17,574.05",0.00,0.00,"1,06,873.05",0.00,0.00,July,2023,43.548473,10.310567
945,Stuttgart,"2,43,418.05",0.00,0.00,"21,04,418.95",0.00,0.00,July,2023,48.775418,9.181759
946,Baumholder,"76,024.40",0.00,0.00,"5,48,706.85",0.00,0.00,July,2023,49.613889,7.333333
947,Ansbach,"36,960.40",0.00,0.00,"6,87,213.65",0.00,0.00,July,2023,49.300425,10.571936
948,Brunssum,"7,009.85",0.00,0.00,"98,295.50",0.00,0.00,July,2023,50.948896,5.972166
949,AFRC Edelweiss Lodge,"22,916.25",0.00,0.00,"2,07,955.52",0.00,0.00,July,2023,,
950,Hohenfels,"48,249.85",0.00,0.00,"3,45,410.15",0.00,0.00,July,2023,49.203278,11.849022
951,Naples Navy,"75,675.50",0.00,0.00,"11,14,297.70",0.00,0.00,July,2023,,
952,Sigonella Navy,"76,545.00",0.00,0.00,"6,21,254.75",0.00,0.00,July,2023,,
953,Rota Navy,"98,330.55",0.00,0.00,"8,03,831.00",0.00,0.00,July,2023,,
954,Souda Bay Navy,"8,196.00",0.00,0.00,"1,08,591.65",0.00,0.00,July,2023,,
955,AFRC Dragon Hill Lodge,0.00,"3,22,194.80",0.00,0.00,"41,81,884.90",0.00,July,2023,,
956,Seoul,0.00,"19,408.65",0.00,0.00,"1,81,903.15",0.00,July,2023,37.566535,126.97797
957,Casey & Hovey,0.00,"1,66,419.25",0.00,0.00,"17,33,951.10",0.00,July,2023,,
958,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,July,2023,,
959,Camp Humphreys,0.00,"8,36,803.35",0.00,0.00,"1,01,33,184.45",0.00,July,2023,,
960,Daegu,0.00,"27,937.05",0.00,0.00,"18,66,465.60",0.00,July,2023,,
961,Chinhae Navy,0.00,"4,844.25",0.00,0.00,"2,47,100.75",0.00,July,2023,,
962,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,July,2023,,
963,Camp Zama,0.00,0.00,"1,09,182.95",0.00,0.00,"10,66,404.15",July,2023,,
964,Fuji Marines,0.00,0.00,"3,410.45",0.00,0.00,"25,069.85",July,2023,,
965,Sanno Navy,0.00,0.00,"51,426.45",0.00,0.00,"7,98,861.80",July,2023,,
966,Atsugi Navy,0.00,0.00,"73,117.75",0.00,0.00,"9,74,274.75",July,2023,,
967,Okinawa,0.00,0.00,"1,868.20",0.00,0.00,"74,136.20",July,2023,26.212401,127.68093
968,Okinawa Marines,0.00,0.00,"8,26,733.90",0.00,0.00,"95,26,525.00",July,2023,,
969,Okinawa Navy,0.00,0.00,"15,663.55",0.00,0.00,"3,14,235.05",July,2023,,
970,Iwakuni Marines,0.00,0.00,"1,99,932.90",0.00,0.00,"16,32,051.30",July,2023,,
971,Sasebo Navy,0.00,0.00,"1,26,236.10",0.00,0.00,"17,28,751.40",July,2023,,
972,Yokosuka Navy,0.00,0.00,"3,75,112.20",0.00,0.00,"43,08,383.85",July,2023,,
973,Singapore Navy,0.00,0.00,"3,873.00",0.00,0.00,"49,312.00",July,2023,,
974,Total Gaming Revenue,"14,67,595.45","13,77,607.35","17,86,557.45","1,46,71,107.97","1,83,44,489.95","2,04,98,005.35",July,2023,,
975,Kaiserslautern,"3,26,757.60",0.00,0.00,"23,07,512.40",0.00,0.00,August,2020,,
976,Grafenwoehr,"90,752.40",0.00,0.00,"12,96,997.45",0.00,0.00,August,2020,,
977,Wiesbaden,"1,30,346.80",0.00,0.00,"18,00,696.20",0.00,0.00,August,2020,,
978,Vicenza,"41,228.15",0.00,0.00,"4,47,677.00",0.00,0.00,August,2020,45.545479,11.535421
979,Livorno,"4,703.25",0.00,0.00,"17,900.20",0.00,0.00,August,2020,43.548473,10.310567
980,Stuttgart,"1,47,535.85",0.00,0.00,"12,26,676.20",0.00,0.00,August,2020,48.775418,9.181759
981,Baumholder,"52,126.75",0.00,0.00,"4,12,776.25",0.00,0.00,August,2020,49.613889,7.333333
982,Ansbach,"11,564.50",0.00,0.00,"3,41,079.95",0.00,0.00,August,2020,49.300425,10.571936
983,Schinnen,0.00,0.00,0.00,"41,837.70",0.00,0.00,August,2020,50.94028,5.87832
984,AFRC Edelweiss Lodge,"8,914.80",0.00,0.00,"1,97,983.02",0.00,0.00,August,2020,,
985,Hohenfels,"34,523.75",0.00,0.00,"3,06,957.30",0.00,0.00,August,2020,49.203278,11.849022
986,Naples Navy,"8,470.10",0.00,0.00,"4,92,206.00",0.00,0.00,August,2020,,
987,Sigonella Navy,"70,451.35",0.00,0.00,"4,04,427.30",0.00,0.00,August,2020,,
988,Rota Navy,"49,179.65",0.00,0.00,"5,08,365.30",0.00,0.00,August,2020,,
989,Souda Bay Navy,0.00,0.00,0.00,"58,890.00",0.00,0.00,August,2020,,
990,AFRC Dragon Hill Lodge,0.00,"4,53,332.90",0.00,0.00,"48,35,983.40",0.00,August,2020,,
991,Seoul,0.00,"16,815.00",0.00,0.00,"6,43,687.00",0.00,August,2020,37.566535,126.97797
992,Casey &   Hovey,0.00,"2,51,609.95",0.00,0.00,"21,76,646.05",0.00,August,2020,,
993,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,August,2020,,
994,Camp Humphreys,0.00,"6,59,830.20",0.00,0.00,"92,61,929.25",0.00,August,2020,,
995,Daegu,0.00,"249,564. 50",0.00,0.00,"23,91,997.35",0.00,August,2020,,
996,Chinhae Navy,0.00,"2,071.95",0.00,0.00,"2,66,972.06",0.00,August,2020,,
997,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,August,2020,,
998,Camp Zama,0.00,0.00,"37,943.90",0.00,0.00,"11,21,576.80",August,2020,,
999,Fuji Marines,0.00,0.00,"2,505.00",0.00,0.00,"12,154.25",August,2020,,
1000,Sanna Navy,0.00,0.00,"37,054.50",0.00,0.00,"6,51,836.10",August,2020,,
1001,Atsugi Navy,0.00,0.00,"81,660.10",0.00,0.00,"9,32,979.80",August,2020,,
1002,Okinawa,0.00,0.00,0.00,0.00,0.00,"50,454.00",August,2020,26.212401,127.68093
1003,Okinawa Marines,0.00,0.00,"3,47,180.70",0.00,0.00,"84,49,259.75",August,2020,,
1004,Okinawa Navy,0.00,0.00,"31,964.80",0.00,0.00,"2,63,430.65",August,2020,,
1005,Iwakuni Marines,0.00,0.00,"1,52,972.75",0.00,0.00,"17,14,787.95",August,2020,,
1006,Sasebo Navy,0.00,0.00,"1,42,112.00",0.00,0.00,"16,07,065.60",August,2020,,
1007,Yokosuka Navy,0.00,0.00,"97,896.55",0.00,0.00,"30,97,264.70",August,2020,,
1008,Singapore Navy,0.00,0.00,0.00,0.00,0.00,"33,112.95",August,2020,,
1009,Total Gaming Revenue,"9,76,554.95","16,33,224.50","9,31,290.30","98,61,982.27","1,95,77,215.11","1,79,33,922.55",August,2020,,
1010,Kaiserslautern,"2,62,481.90",0.00,0.00,"11,53,601.50",0.00,0.00,August,2021,,
1011,Grafenwoehr,"79,823.30",0.00,0.00,"14,28,052.60",0.00,0.00,August,2021,,
1012,Wiesbaden,"2,91,347.35",0.00,0.00,"20,91,446.20",0.00,0.00,August,2021,,
1013,Vicenza,"1,49,357.40",0.00,0.00,"7,97,487.55",0.00,0.00,August,2021,45.545479,11.535421
1014,Livorno,"1,395.00",0.00,0.00,"53,877.30",0.00,0.00,August,2021,43.548473,10.310567
1015,Stuttgart,"2,07,201.05",0.00,0.00,"13,73,052.70",0.00,0.00,August,2021,48.775418,9.181759
1016,Baumholder,"41,197.00",0.00,0.00,"1,16,941.40",0.00,0.00,August,2021,49.613889,7.333333
1017,Ansbach,"58,343.25",0.00,0.00,"3,35,004.25",0.00,0.00,August,2021,49.300425,10.571936
1018,Schinnen,"8,467.70",0.00,0.00,"1,00,346.95",0.00,0.00,August,2021,50.94028,5.87832
1019,AFRC Edelweiss Lodge,"15,482.85",0.00,0.00,"97,628.07",0.00,0.00,August,2021,,
1020,Hohenfels,"53,913.10",0.00,0.00,"5,02,355.05",0.00,0.00,August,2021,49.203278,11.849022
1021,Naples Navy,"56,253.55",0.00,0.00,"2,48,580.40",0.00,0.00,August,2021,,
1022,Sigonella Navy,"44,454.65",0.00,0.00,"4,92,679.10",0.00,0.00,August,2021,,
1023,Rota Navy,"70,770.05",0.00,0.00,"7,26,502.05",0.00,0.00,August,2021,,
1024,Souda Bay Navy,0.00,0.00,0.00,0.00,0.00,0.00,August,2021,,
1025,AFRC Dragon Hill Lodge,0.00,"5,27,133.85",0.00,0.00,"45,85,881.05",0.00,August,2021,,
1026,Seoul,0.00,"13,399.45",0.00,0.00,"2,77,145.00",0.00,August,2021,37.566535,126.97797
1027,Casey & Hovey,0.00,"2,79,638.70",0.00,0.00,"21,72,206.20",0.00,August,2021,,
1028,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,August,2021,,
1029,Camp Humphreys,0.00,"9,22,169.35",0.00,0.00,"1,07,76,313.10",0.00,August,2021,,
1030,Daegu,0.00,"2,12,458.25",0.00,0.00,"29,40,309.45",0.00,August,2021,,
1031,Chinhae Navy,0.00,"42,252.10",0.00,0.00,"3,51,791.75",0.00,August,2021,,
1032,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,August,2021,,
1033,Camp Zama,0.00,0.00,"1,28,055.30",0.00,0.00,"14,55,931.20",August,2021,,
1034,Fuji Marines,0.00,0.00,"3,836.00",0.00,0.00,"22,133.50",August,2021,,
1035,Sanno Navy,0.00,0.00,"55,461.45",0.00,0.00,"3,08,398.00",August,2021,,
1036,Atsugi Navy,0.00,0.00,"53,467.75",0.00,0.00,"13,56,891.30",August,2021,,
1037,Okinawa,0.00,0.00,"2,332.10",0.00,0.00,"26,387.05",August,2021,26.212401,127.68093
1038,Okinawa Marines,0.00,0.00,"9,98,697.20",0.00,0.00,"99,34,113.80",August,2021,,
1039,Okinawa Navy,0.00,0.00,"32,898.30",0.00,0.00,"3,35,144.30",August,2021,,
1040,Iwakuni Marines,0.00,0.00,"1,78,499.15",0.00,0.00,"18,72,738.10",August,2021,,
1041,Sasebo Navy,0.00,0.00,"1,71,919.80",0.00,0.00,"22,53,224.65",August,2021,,
1042,Yokosuka Navy,0.00,0.00,"3,43,867.95",0.00,0.00,"36,14,687.10",August,2021,,
1043,Singapore Navy,0.00,0.00,0.00,0.00,0.00,-30.50,August,2021,,
1044,Total Gaming Revenue,"13,40,488.15","19,97,051.70","19,69,035.00","95,17,555.12","2,11,03,646.55","2,11,79,618.50",August,2021,,
1045,Kaiserslautern,"3,43,200.65",0.00,0.00,"31,75,654.15",0.00,0.00,August,2022,,
1046,Grafenwoehr,"1,75,380.10",0.00,0.00,"12,69,773.60",0.00,0.00,August,2022,,
1047,Wiesbaden,"2,88,094.20",0.00,0.00,"28,06,598.50",0.00,0.00,August,2022,,
1048,Vicenza,"1,28,182.15",0.00,0.00,"9,13,085.25",0.00,0.00,August,2022,45.545479,11.535421
1049,Livorno,"4,385.95",0.00,0.00,"1,09,751.10",0.00,0.00,August,2022,43.548473,10.310567
1050,Stuttgart,"2,98,155.10",0.00,0.00,"24,59,959.15",0.00,0.00,August,2022,48.775418,9.181759
1051,Baumholder,"1,21,187.20",0.00,0.00,"5,49,734.30",0.00,0.00,August,2022,49.613889,7.333333
1052,Ansbach,"1,13,451.00",0.00,0.00,"6,99,197.95",0.00,0.00,August,2022,49.300425,10.571936
1053,Brunssum,"1,123.35",0.00,0.00,"87,210.75",0.00,0.00,August,2022,50.948896,5.972166
1054,AFRC Edelweiss Lodge,"5,896.75",0.00,0.00,"1,56,249.15",0.00,0.00,August,2022,,
1055,Hohenfels,"-4,269.30",0.00,0.00,"5,08,273.20",0.00,0.00,August,2022,49.203278,11.849022
1056,Naples Navy,"1,21,663.15",0.00,0.00,"9,39,984.21",0.00,0.00,August,2022,,
1057,Sigonella Navy,"53,916.25",0.00,0.00,"6,44,180.60",0.00,0.00,August,2022,,
1058,Rota Navy,"89,957.80",0.00,0.00,"9,22,278.80",0.00,0.00,August,2022,,
1059,Souda Bay Navy,"10,207.00",0.00,0.00,"34,103.05",0.00,0.00,August,2022,,
1060,AFRC Dragon Hill Lodge,0.00,"4,84,384.60",0.00,0.00,"37,42,012.35",0.00,August,2022,,
1061,Seoul,0.00,"8,189.85",0.00,0.00,"1,28,471.10",0.00,August,2022,37.566535,126.97797
1062,Casey & Hovey,0.00,"2,09,308.45",0.00,0.00,"25,17,407.75",0.00,August,2022,,
1063,Uijongbu,0.00,0.00,0.00,0.00,0.00,0.00,August,2022,,
1064,Camp Humphreys,0.00,"10,46,804.75",0.00,0.00,"1,01,81,417.35",0.00,August,2022,,
1065,Daegu,0.00,"1,93,928.70",0.00,0.00,"28,41,828.85",0.00,August,2022,,
1066,Chinhae Navy,0.00,"66,680.85",0.00,0.00,"3,90,968.90",0.00,August,2022,,
1067,Camp Mujuk Marines,0.00,0.00,0.00,0.00,0.00,0.00,August,2022,,
1068,Camp Zama,0.00,0.00,"1,50,756.05",0.00,0.00,"11,68,154.70",August,2022,,
1069,Fuji Marines,0.00,0.00,"5,925.00",0.00,0.00,"23,198.95",August,2022,,
